timestamp,datetime,symbol,open,high,low,close,volume
1749821400000,2025-06-13 09:30:00,AAPL,199.73,199.86,199.1,199.51,1196100.0
1749821460000,2025-06-13 09:31:00,AAPL,199.5,199.91,199.4,199.815,348486.0
1749821520000,2025-06-13 09:32:00,AAPL,199.83,200.37,199.69,199.9,701850.0
1749821580000,2025-06-13 09:33:00,AAPL,199.94,200.025,199.12,199.16,233324.0
1749821640000,2025-06-13 09:34:00,AAPL,199.16,199.17,198.64,198.9,201841.0
1749821700000,2025-06-13 09:35:00,AAPL,198.89,199.24,198.83,198.995,121342.0
1749821760000,2025-06-13 09:36:00,AAPL,198.97,198.97,197.89,198.04,249291.0
1749821820000,2025-06-13 09:37:00,AAPL,198.05,198.24,197.81,198.08,203003.0
1749821880000,2025-06-13 09:38:00,AAPL,198.07,198.14,197.8192,198.12,165744.0
1749821940000,2025-06-13 09:39:00,AAPL,198.11,198.35,198.02,198.27,161422.0
1749822000000,2025-06-13 09:40:00,AAPL,198.2699,198.27,197.98,198.085,166431.0
1749822060000,2025-06-13 09:41:00,AAPL,198.0879,198.29,198.04,198.04,185238.0
1749822120000,2025-06-13 09:42:00,AAPL,198.07,198.07,197.61,197.66,221208.0
1749822180000,2025-06-13 09:43:00,AAPL,197.655,197.76,197.6,197.62,143023.0
1749822240000,2025-06-13 09:44:00,AAPL,197.62,197.64,197.27,197.5,256762.0
1749822300000,2025-06-13 09:45:00,AAPL,197.53,197.6,196.97,197.0503,271922.0
1749822360000,2025-06-13 09:46:00,AAPL,197.05,197.13,196.9,196.96,167618.0
1749822420000,2025-06-13 09:47:00,AAPL,196.9599,197.28,196.9,197.22,233027.0
1749822480000,2025-06-13 09:48:00,AAPL,197.23,197.42,197.21,197.395,98507.0
1749822540000,2025-06-13 09:49:00,AAPL,197.3704,197.385,197.18,197.385,93496.0
1749822600000,2025-06-13 09:50:00,AAPL,197.38,197.7,197.3,197.32,216835.0
1749822660000,2025-06-13 09:51:00,AAPL,197.315,197.63,197.28,197.39,128743.0
1749822720000,2025-06-13 09:52:00,AAPL,197.39,197.44,197.23,197.2961,76056.0
1749822780000,2025-06-13 09:53:00,AAPL,197.285,197.4,197.21,197.215,89167.0
1749822840000,2025-06-13 09:54:00,AAPL,197.21,197.23,196.9,196.9404,149290.0
1749822900000,2025-06-13 09:55:00,AAPL,196.94,197.13,196.93,197.08,95434.0
1749822960000,2025-06-13 09:56:00,AAPL,197.08,197.12,196.97,197.04,92503.0
1749823020000,2025-06-13 09:57:00,AAPL,197.04,197.16,196.95,197.03,124170.0
1749823080000,2025-06-13 09:58:00,AAPL,197.0599,197.09,196.81,196.81,132032.0
1749823140000,2025-06-13 09:59:00,AAPL,196.81,196.9633,196.76,196.9,172290.0
1749823200000,2025-06-13 10:00:00,AAPL,196.93,197.3999,196.9,196.95,200224.0
1749823260000,2025-06-13 10:01:00,AAPL,196.97,197.14,196.8,196.93,177284.0
1749823320000,2025-06-13 10:02:00,AAPL,196.945,196.98,196.86,196.885,63497.0
1749823380000,2025-06-13 10:03:00,AAPL,196.9,197.05,196.62,196.65,157135.0
1749823440000,2025-06-13 10:04:00,AAPL,196.65,196.86,196.58,196.85,100308.0
1749823500000,2025-06-13 10:05:00,AAPL,196.85,196.9813,196.77,196.8052,74282.0
1749823560000,2025-06-13 10:06:00,AAPL,196.79,196.87,196.68,196.81,74526.0
1749823620000,2025-06-13 10:07:00,AAPL,196.8,196.8199,196.65,196.77,80575.0
1749823680000,2025-06-13 10:08:00,AAPL,196.78,196.9,196.63,196.64,102206.0
1749823740000,2025-06-13 10:09:00,AAPL,196.64,196.65,196.462,196.49,171170.0
1749823800000,2025-06-13 10:10:00,AAPL,196.49,196.4973,196.19,196.19,169554.0
1749823860000,2025-06-13 10:11:00,AAPL,196.195,196.21,195.94,196.0276,261620.0
1749823920000,2025-06-13 10:12:00,AAPL,196.03,196.1994,195.91,196.14,188549.0
1749823980000,2025-06-13 10:13:00,AAPL,196.125,196.21,196.0801,196.085,112119.0
