timestamp,datetime,symbol,open,high,low,close,volume,roc8,ema7
1749821400000,2025-06-13 09:30:00,SPY,598.5,600.37,598.16,599.72,1744556.0,,
1749821580000,2025-06-13 09:33:00,SPY,599.72,599.9,599.345,599.54,847707.0,,
1749821760000,2025-06-13 09:36:00,SPY,599.52,599.97,599.27,599.97,712795.0,,
1749821940000,2025-06-13 09:39:00,SPY,599.9599,600.21,599.39,599.74,554044.0,,
1749822120000,2025-06-13 09:42:00,SPY,599.74,599.96,599.44,599.68,347670.0,,
1749822300000,2025-06-13 09:45:00,SPY,599.69,599.69,599.04,599.22,555127.0,,
1749822480000,2025-06-13 09:48:00,SPY,599.21,599.48,598.76,599.21,638833.0,,
1749822660000,2025-06-13 09:51:00,SPY,599.22,599.72,598.7568,598.76,540383.0,,
1749822840000,2025-06-13 09:54:00,SPY,598.76,598.8,598.23,598.49,406333.0,,
1749823020000,2025-06-13 09:57:00,SPY,598.47,598.53,597.86,598.15,511061.0,,
1749823200000,2025-06-13 10:00:00,SPY,598.17,599.167,598.03,598.34,746963.0,,
1749823380000,2025-06-13 10:03:00,SPY,598.3536,598.84,598.2,598.32,449027.0,,
1749823560000,2025-06-13 10:06:00,SPY,598.31,598.93,598.23,598.4,361226.0,,
1749823740000,2025-06-13 10:09:00,SPY,598.39,598.595,597.51,597.89,477104.0,,
1749823920000,2025-06-13 10:12:00,SPY,597.9,598.05,597.57,597.97,215221.0,-0.2069391365297657,598.3032972063337
