timestamp,datetime,symbol,open,high,low,close,volume,roc8,ema7
1749821400000,2025-06-13 09:30:00,QQQ,527.68,530.01,527.25,529.63,1076875.0,,
1749821580000,2025-06-13 09:33:00,QQQ,529.62,529.99,529.32,529.44,579179.0,,
1749821760000,2025-06-13 09:36:00,QQQ,529.4,529.94,528.85,529.93,449901.0,,
1749821940000,2025-06-13 09:39:00,QQQ,529.95,530.26,529.31,529.7401,459651.0,,
1749822120000,2025-06-13 09:42:00,QQQ,529.75,530.1,529.52,529.82,318588.0,,
1749822300000,2025-06-13 09:45:00,QQQ,529.83,529.83,529.06,529.48,330242.0,,
1749822480000,2025-06-13 09:48:00,QQQ,529.47,530.05,529.18,529.8,307752.0,,
1749822660000,2025-06-13 09:51:00,QQQ,529.83,530.4,529.38,529.3899,305283.0,,
1749822840000,2025-06-13 09:54:00,QQQ,529.38,529.42,528.74,528.99,372899.0,,
1749823020000,2025-06-13 09:57:00,QQQ,528.97,529.04,528.44,528.67,242550.0,,
1749823200000,2025-06-13 10:00:00,QQQ,528.88,529.8079,528.62,528.895,414866.0,,
1749823380000,2025-06-13 10:03:00,QQQ,528.895,529.38,528.67,528.76,249271.0,,
1749823560000,2025-06-13 10:06:00,QQQ,528.72,529.33,528.66,528.73,167483.0,,
1749823740000,2025-06-13 10:09:00,QQQ,528.73,528.84,527.71,527.95,304903.0,,
1749823920000,2025-06-13 10:12:00,QQQ,527.93,528.08,527.6,527.98,186020.0,-0.34352585881463504,528.5387492047992
