timestamp,datetime,symbol,open,high,low,close,volume,roc8,ema7
1749821400000,2025-06-13 09:30:00,TSLA,313.97,316.59,313.3,316.395,1726208.0,,
1749821580000,2025-06-13 09:33:00,TSLA,316.3312,318.1459,315.25,317.5192,1397725.0,,
1749821760000,2025-06-13 09:36:00,TSLA,317.5999,318.2899,316.47,317.03,949875.0,,
1749821940000,2025-06-13 09:39:00,TSLA,317.05,317.8,316.53,316.69,835928.0,,
1749822120000,2025-06-13 09:42:00,TSLA,316.6301,318.52,316.41,317.34,985306.0,,
1749822300000,2025-06-13 09:45:00,TSLA,317.33,318.43,317.02,317.99,833444.0,,
1749822480000,2025-06-13 09:48:00,TSLA,318.0287,320.1,317.41,319.999,1152398.0,,
1749822660000,2025-06-13 09:51:00,TSLA,319.9262,320.34,318.19,318.545,1034490.0,,
1749822840000,2025-06-13 09:54:00,TSLA,318.545,318.78,316.83,317.2616,968449.0,,
1749823020000,2025-06-13 09:57:00,TSLA,317.22,317.29,315.9,316.18,1005693.0,,
1749823200000,2025-06-13 10:00:00,TSLA,316.165,317.4,315.5811,316.95,1117105.0,,
1749823380000,2025-06-13 10:03:00,TSLA,316.95,317.989,316.37,317.37,878165.0,,
1749823560000,2025-06-13 10:06:00,TSLA,317.35,319.0,317.26,318.016,925206.0,,
1749823740000,2025-06-13 10:09:00,TSLA,318.04,318.45,316.9601,317.695,643404.0,,
1749823920000,2025-06-13 10:12:00,TSLA,317.69,318.0592,317.1,317.245,344711.0,-0.8606276894615356,317.4407374167306
