timestamp,datetime,symbol,open,high,low,close,volume,roc8,ema7
1749821400000,2025-06-13 09:30:00,AAPL,199.73,200.37,199.1,199.9,2246436.0,,
1749821580000,2025-06-13 09:33:00,AAPL,199.94,200.025,198.64,198.995,556507.0,,
1749821760000,2025-06-13 09:36:00,AAPL,198.97,198.97,197.81,198.12,618038.0,,
1749821940000,2025-06-13 09:39:00,AAPL,198.11,198.35,197.98,198.04,513091.0,,
1749822120000,2025-06-13 09:42:00,AAPL,198.07,198.07,197.27,197.5,620993.0,,
1749822300000,2025-06-13 09:45:00,AAPL,197.53,197.6,196.9,197.22,672567.0,,
1749822480000,2025-06-13 09:48:00,AAPL,197.23,197.7,197.18,197.32,408838.0,,
1749822660000,2025-06-13 09:51:00,AAPL,197.315,197.63,197.21,197.215,293966.0,,
1749822840000,2025-06-13 09:54:00,AAPL,197.21,197.23,196.9,197.04,337227.0,,
1749823020000,2025-06-13 09:57:00,AAPL,197.04,197.16,196.76,196.9,428492.0,,
1749823200000,2025-06-13 10:00:00,AAPL,196.93,197.3999,196.8,196.885,441005.0,,
1749823380000,2025-06-13 10:03:00,AAPL,196.9,197.05,196.58,196.8052,331725.0,,
1749823560000,2025-06-13 10:06:00,AAPL,196.79,196.9,196.63,196.64,257307.0,,
1749823740000,2025-06-13 10:09:00,AAPL,196.64,196.65,195.94,196.0276,602344.0,,
1749823920000,2025-06-13 10:12:00,AAPL,196.03,196.21,195.91,196.085,300668.0,-0.6258868842489284,196.62745337001257
