timestamp,datetime,symbol,open,high,low,close,volume,roc8,ema7
1749821400000,2025-06-13 09:30:00,QQQ,527.68,530.01,527.25,529.68,1513928.0,,
1749821700000,2025-06-13 09:35:00,QQQ,529.63,530.26,528.85,530.11,784696.0,,
1749822000000,2025-06-13 09:40:00,QQQ,530.13,530.15,529.31,529.82,585570.0,,
1749822300000,2025-06-13 09:45:00,QQQ,529.83,529.83,529.06,529.47,460284.0,,
1749822600000,2025-06-13 09:50:00,QQQ,529.47,530.4,528.93,528.955,593242.0,,
1749822900000,2025-06-13 09:55:00,QQQ,528.955,529.34,528.44,528.67,505200.0,,
1749823200000,2025-06-13 10:00:00,QQQ,528.88,529.8079,528.62,528.88,579203.0,,
1749823500000,2025-06-13 10:05:00,QQQ,528.89,529.33,528.66,528.71,290477.0,,
1749823800000,2025-06-13 10:10:00,QQQ,528.72,528.76,527.6,527.98,452863.0,-0.3209484972058473,528.8983482142858
